time;ms;channel;data
14:37:01;489;801502;00 1D 20 EF BF BD 7A 20 20 00 00 20 20 47 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:01;548;800402;00 1D 20 09 48 20 20 00 00 20 20 56 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:01;549;801102;00 1D 20 39 11 20 20 00 00 20 20 70 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:01;573;800802;00 1D 20 EF BF BD 27 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 20 20 20 20 20 20 20 20 20 20
14:37:01;643;800402;00 1D 20 40 1A 20 20 00 00 20 20 34 1C 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:01;644;801902;00 1D 20 32 EF BF BD 20 20 00 00 20 20 EF BF BD 60 20 20 08 20 20 20 20 20 20 20 20 20 20 20
14:37:01;644;801502;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 5E EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20
14:37:01;647;801802;00 1D 20 37 EF BF BD 20 20 00 00 20 20 EF BF BD 11 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:01;649;800802;00 1D 20 47 6A 20 20 00 00 20 20 EF BF BD 3C 20 20 6E 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:01;727;801102;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 EF BF BD 20 20 20 20 20
14:37:01;731;801902;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 36 55 20 20 32 20 20 20 20 20 20 20 20 20 20 20
14:37:01;733;801502;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 11 5D 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:01;735;801802;00 1D 20 72 30 20 20 00 00 20 20 65 EF BF BD 20 20 18 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:01;737;800802;00 1D 20 EF BF BD 65 20 20 00 00 20 20 24 51 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:01;813;801502;00 1D 20 EF BF BD 6C 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 08 20 20 20 20 20 20 20 20 20
14:37:01;814;800802;00 1D 20 35 EF BF BD 20 20 00 00 20 20 00 02 20 20 21 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:01;817;801902;00 1D 20 02 EF BF BD 20 20 00 00 20 20 EF BF BD 77 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:01;821;801102;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 31 20 20 20 20 20 20 20
14:37:01;856;801502;00 1D 20 EF BF BD 21 20 20 00 00 20 20 0B EF BF BD 20 20 3E 20 20 20 20 20 20 20 20 20 20 20
14:37:01;856;801802;00 1D 20 0E EF BF BD 20 20 00 00 20 20 C3 88 20 20 39 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:01;892;801902;00 1D 20 EF BF BD 1F 20 20 00 00 20 20 43 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:01;894;800402;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 EF BF BD 4D 20 20 EF BF BD 20 20 20 20 20 20 20
14:37:01;895;801102;00 1D 20 58 45 20 20 00 00 20 20 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20 20
14:37:01;905;801502;00 1D 20 5E 00 20 20 00 00 20 20 5B EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:01;907;801802;00 1D 20 CC B3 20 20 00 00 20 20 EF BF BD 3A 20 20 66 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:01;959;801802;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 EF BF BD 6B 20 20 EF BF BD 20 20 20 20 20 20 20
14:37:01;963;800402;00 1D 20 69 EF BF BD 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 2A 20 20 20 20 20 20 20 20 20
14:37:01;968;801902;00 1D 20 63 34 20 20 00 00 20 20 61 EF BF BD 20 20 10 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:01;971;801502;00 1D 20 C8 A2 20 20 00 00 20 20 4A EF BF BD 20 20 17 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:02;7;801802;00 1D 20 71 44 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 6F 20 20 20 20 20 20 20 20 20 20 20
14:37:02;7;800802;00 1D 20 3E 5F 20 20 00 00 20 20 3D EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:02;34;801102;00 1D 20 00 EF BF BD 20 20 00 00 20 20 45 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
14:37:02;39;800402;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 08 EF BF BD 20 20 34 20 20 20 20 20 20 20 20 20
14:37:02;45;801902;00 1D 20 EF BF BD 37 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20
14:37:02;47;801502;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 76 20 20 20 20 20 20 20
14:37:02;53;800802;00 1D 20 27 EF BF BD 20 20 00 00 20 20 48 01 20 20 72 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:02;71;801802;00 1D 20 EF BF BD EF BF BD 20 20 00 00 20 20 EF BF BD 35 20 20 1B 20 20 20 20 20 20 20 20 20
14:37:02;126;801102;00 1D 20 EF BF BD 20 20 00 00 20 20 C6 89 20 20 15 20 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:02;127;800802;00 1D 20 3E 75 20 20 00 00 20 20 20 EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:02;127;801902;00 1D 20 57 EF BF BD 20 20 00 00 20 20 6D 1B 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:02;128;801502;00 1D 20 4D EF BF BD 20 20 00 00 20 20 EF BF BD 03 20 20 EF BF BD 20 20 20 20 20 20 20 20 20
